data: {"type":"message_start","message":{"id":"msg_bdrk_01C9naoPcSsxdTQxwBAz48oH","type":"message","role":"assistant","model":"claude-sonnet-4-20250514","content":[],"stop_reason":null,"stop_sequence":null,"usage":{"input_tokens":15,"cache_creation_input_tokens":0,"cache_read_input_tokens":0,"output_tokens":8}}}

data: {"type":"content_block_start","index":0,"content_block":{"type":"text","text":""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"I'll create a simple neural network from"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" scratch using NumPy."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Here's a complete"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" implementation with"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" explan"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ations:\n\n```python\nimport numpy"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" as np\nimport matplotlib"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".pyplot as plt\n\nclass Simple"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"N"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"euralNetwork:\n    def"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" __init__(self, input_size"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", hidden_size, output_size"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":","}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" learning_rate=0.01):"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \"\"\"\n        Initialize a"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" simple neural network with"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" one"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" hidden layer"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \n        Args"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":":\n            input_size: Number"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" of input features\n            hidden_size"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":": Number of neurons in hidden layer"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            output_size: Number of output"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" neurons"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            learning_rate: Learning rate"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" for gradient descent\n        \"\"\"\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"self.learning"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_rate = learning_rate\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        # Initialize weights and biases with"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" small random values\n        self.W"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 = np.random.ran"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dn(input_size, hidden_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"size) * 0.5"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        self.b1 ="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" np.zeros((1, hidden_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"size))\n        self.W2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = np.random.randn"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(hidden_size, output_size"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":") * 0.5\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"self.b2 = np."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"zeros((1, output_size))"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \n        # Store"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" activ"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ations for back"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"propagation\n        self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"z"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 = None"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        self.a"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 = None\n        self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"z2 = None\n        self"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".a2 = None\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    def sigmoi"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d(self, x):\n        \"\"\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Sigmoid activation function\"\"\"\n        #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Clip"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" x"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" to prevent"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" overflow\n        x ="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" np.clip(x, -500"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", 500)\n        return "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 / (1 + np"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".exp(-x))\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    def sigmoi"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d_derivative(self, x):"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \"\"\"Derivative of sigmoid function"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\"\"\"\n        return x * (1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" - x)\n    \n    "}}

